600 179 1 1 1 0.5 0.5 0.085 
30 24 1.23 118 11.8
3 0.8333333333333334 0.8333333333333334
0 0.0 0.0
78 -4.56984 -2.09614 6
79 -2.76984 0.30937 7
80 -1.45642 4.6911 8
81 2.97088 -1.38415 9
82 -0.56942 -1.82268 7
83 -5.04871 3.01951 6
84 2.09437 0.31391 7
85 -1.60918 -4.11974 9
86 -1.72707 -3.2842 7
87 -2.58878 4.2218 7
88 5.46158 -0.95948 6
89 4.18557 -2.26087 5
90 -4.69711 -0.07472 7
91 1.41994 -2.0454 9
92 3.06255 -4.10469 7
93 -2.05992 2.21571 6
94 4.33169 -0.19067 7
95 -1.43346 1.19613 8
96 0.24065 -3.58287 7
97 -5.38724 1.53457 7
98 3.45037 3.03203 8
99 -4.22703 -1.68334 6
100 -1.01992 -3.69105 9
101 -4.19126 -3.55438 7
102 -1.0283 3.24337 9
103 1.94517 -1.64538 7
104 1.22729 -4.4427 6
105 -2.70779 1.98509 7
106 0.60538 3.34853 5
107 1.24148 -2.60071 8
108 -0.6251 5.31923 6
109 -0.31016 4.76169 9
110 -0.21628 1.90059 7
111 -3.61384 -2.85188 6
112 -0.76823 4.92031 7
113 3.66511 -4.52634 8
114 -1.12562 5.24506 7
115 -3.8349 4.14461 8
116 -3.38697 2.74844 8
117 -0.42225 -1.87455 6
118 2.44743 4.88153 7
119 0.7404 1.47024 6
120 -0.34877 4.54887 8
121 -0.99518 4.51542 6
122 -1.22356 -2.13632 6
123 2.01455 -0.55702 8
124 -2.45539 -3.95196 7
125 -3.08414 -3.02046 6
126 -4.02169 -0.06708 8
127 -0.71474 1.75563 7
128 1.39576 -4.65787 7
129 -1.85446 -1.73416 6
130 -1.16084 -1.1376 6
131 -2.66019 2.12389 7
132 4.10372 3.54589 7
133 -1.16504 2.64167 7
134 -0.22559 2.11178 6
135 -3.92382 -3.62668 7
136 3.54075 1.79954 7
137 -2.59258 1.95571 8
138 -3.51642 -2.74993 7
139 -2.93034 -1.50629 6
140 4.3266 -3.50463 7
141 3.45093 -2.58057 7
142 4.56912 1.55063 8
143 -1.13433 -5.81416 7
144 3.37395 -1.68499 8
145 -0.91904 2.99786 4
146 4.53057 3.84129 7
147 2.83092 -3.74829 6
148 -5.81718 -1.24182 5
149 1.89116 -5.60053 7
150 -4.82869 1.65258 6
151 1.43046 -0.92632 6
152 3.99691 -2.63775 7
153 -3.03615 1.20598 6
154 1.49614 -2.09285 7
155 1.35521 -3.57418 7
156 -2.47579 -1.69518 7
157 -2.4273 4.71455 8
158 0.1901 5.80883 6
159 -0.12872 -1.76763 7
160 0.14061 -3.29733 7
161 3.32521 0.42089 6
162 0.04848 -2.65541 8
163 1.60587 5.63775 6
164 -0.84529 3.14522 6
165 0.81206 -3.68942 6
166 -1.44313 -1.34873 7
167 2.68806 -1.74965 5
168 4.91123 -2.81516 7
169 3.36508 4.84519 4
170 -2.16087 4.4409 7
171 -1.48484 -3.17243 7
172 -0.0591 -2.06133 7
173 -2.63477 4.948 8
174 -0.28101 2.72159 8
175 1.28219 -3.115 6
176 4.55543 0.00098 7
177 2.26079 -2.37764 6
178 -4.50551 3.23393 9
179 -4.38169 0.02349 6
180 3.97742 -1.66985 5
181 -5.55979 -1.37522 9
182 -5.65885 1.05722 6
183 -1.0187 -3.06059 6
184 -1.42413 0.92479 5
185 -4.24198 -2.62257 8
186 -0.2701 -3.36282 7
187 1.09565 1.2379 8
188 -0.86517 -2.18624 7
189 -1.59649 3.71981 7
190 -0.38116 2.4846 7
191 -2.96521 0.66842 6
192 1.66931 4.96075 8
193 3.77605 -1.836 6
194 2.17626 -1.15967 6
195 -1.96921 -2.37474 7
196 -3.69848 4.46844 6
197 -1.57593 0.18134 6
198 -4.85706 -0.56759 8
199 4.50679 1.92255 8
200 1.88924 4.6518 6
201 -3.53596 -3.04297 8
202 0.25431 5.3538 8
203 4.4639 3.1719 8
204 0.37192 -4.89307 7
205 1.82836 2.22934 7
206 4.5836 2.3984 8
207 3.13518 -1.42466 8
208 -1.54664 5.3158 8
209 2.04105 -4.1626 9
210 0.38172 2.23205 6
211 -3.09925 -4.83625 5
212 -2.33115 -3.52472 7
213 3.51947 -4.65686 6
214 1.58396 1.05247 7
215 -2.37378 -0.49172 7
216 -1.30847 -5.10328 7
217 -0.34948 1.88092 6
218 -3.85278 -1.62676 6
219 4.03097 3.68024 6
220 -3.43021 2.15211 8
221 -2.13649 -2.02399 8
222 -4.92571 -2.54018 5
223 1.28528 2.05368 7
224 1.36572 3.17891 10
225 -2.73123 1.45365 8
226 4.05968 1.19918 6
227 3.2941 -1.47821 7
228 5.39974 1.94288 8
229 1.655 -5.10156 8
230 5.05208 -0.7386 7
231 -0.10493 -2.63832 7
232 -0.36521 4.77133 6
233 0.1328 -5.5651 7
234 -5.52263 1.71107 7
235 -2.41768 4.33064 7
236 2.31234 -2.37564 7
237 1.18133 -3.19319 9
238 -1.02536 4.75878 7
239 -0.84615 5.09733 6
240 -3.33727 1.19424 8
241 3.758 3.31793 7
242 -3.10081 3.11916 8
243 -5.49477 0.22191 7
244 -2.20211 -4.5235 7
245 5.23353 2.36138 6
246 1.33892 2.12256 5
247 -4.01573 3.80328 5
248 -5.74397 1.12291 8
249 4.49111 -1.19986 8
250 1.19942 -0.97534 7
251 -1.26158 -1.3377 6
252 1.43421 -3.75683 6
253 4.18382 0.46096 8
254 -3.58402 2.35065 5
255 4.50141 -2.23277 7
256 -4.51119 -2.71601 5
257 5.16566 1.8076 7
258 -2.54653 -2.73004 6
259 -3.04856 3.70282 8
260 -3.92842 -0.27712 7
261 -0.28384 5.16235 7
262 2.9607 3.53574 7
263 -3.10798 3.55868 6
264 3.20046 2.2568 5
265 -3.67764 3.18402 7
266 5.05563 -2.44512 7
267 -4.68258 -1.52254 8
268 0.52512 2.51283 9
269 -0.15528 -2.28491 6
270 -0.45993 -4.99029 7
271 1.11704 -3.60604 7
272 -1.5049 -3.25688 6
273 5.63287 -0.74841 6
274 2.5009 5.01524 6
275 -4.67712 2.75058 5
276 -3.78158 0.09661 8
277 1.41225 4.67781 6
278 -3.5162 3.17757 7
279 2.98643 -1.13172 8
280 -4.08978 -2.32937 8
281 1.55994 -5.78494 8
282 -0.40805 1.96329 8
283 -2.31809 -2.21196 7
284 0.52298 3.62592 8
285 1.09215 5.29988 9
286 4.06996 -0.81215 8
287 -0.60027 2.00165 7
288 0.54492 3.5629 8
289 -1.03251 5.40499 7
290 5.13691 0.88589 5
291 -3.11098 -1.408 7
292 2.68389 4.43136 8
293 -2.59873 4.59793 6
294 -0.20684 -2.7121 6
295 3.88543 -4.51587 8
296 0.45519 3.2974 8
297 -4.7542 -0.43451 7
298 5.04478 2.78724 7
299 3.42532 3.49544 6
300 -3.01672 2.74831 7
301 -2.22682 -3.27067 8
302 -0.63165 1.87126 8
303 1.92341 1.13691 6
304 -3.8317 1.6669 6
305 -5.77328 -0.21797 6
306 2.30192 -2.19713 8
307 -2.37978 5.09025 8
308 -2.31287 4.91028 8
309 2.62397 1.11467 5
310 -2.97226 1.98958 7
311 1.64944 3.74002 6
312 -4.8726 -2.74012 7
313 -4.64533 1.44004 5
314 1.24676 5.34157 7
315 4.33751 0.45989 6
316 4.67407 -0.24723 8
317 4.1452 -0.62198 5
318 2.40367 2.27795 9
319 3.43476 -3.36471 7
320 4.64301 -0.33584 7
321 -0.03196 5.61464 8
322 3.05755 -4.90977 7
323 -4.60573 -0.64412 6
324 -5.00425 -0.79547 9
325 3.34299 2.0763 7
326 -4.80136 1.42367 8
327 5.98601 -0.32762 8
328 3.91321 4.32142 7
329 1.6536 -2.06938 7
330 4.2964 -3.93118 8
331 1.61907 0.96608 6
332 -0.36761 -1.72187 7
333 2.8655 0.19911 7
334 -2.36533 2.6364 7
335 4.18001 -4.24414 7
336 4.3705 -3.87177 6
337 5.22239 -0.87185 6
338 -4.65306 1.27607 7
339 -1.16919 5.79507 8
340 -4.63969 -0.25006 7
341 -2.80838 1.24867 7
342 -1.32943 -2.23309 8
343 4.87861 -2.05573 7
344 -4.24665 1.4188 8
345 3.98857 -3.73207 7
346 2.05901 -4.98025 7
347 1.80724 4.64783 6
348 -2.83566 -4.51936 7
349 2.88845 -4.13905 7
350 -2.34792 -3.34785 8
351 2.73805 -4.77184 9
352 -5.56617 1.47615 8
353 -5.26849 0.85535 6
354 0.14369 -2.26424 9
355 -4.56221 -3.67259 7
356 2.87673 -3.17449 8
357 -5.24518 2.15021 7
358 1.209 -1.91195 9
359 -3.82242 -4.39368 8
360 3.14553 1.21705 9
361 -0.84576 -3.96806 7
362 3.03433 -4.02157 6
363 -0.57118 2.23355 9
364 1.42377 2.69135 7
365 -3.92973 -2.54633 5
366 3.846 -0.67864 7
367 -2.17835 1.04678 7
368 1.40353 0.7877 6
369 2.58326 5.08149 6
370 -0.27642 -4.97187 7
371 3.24481 1.62909 7
372 -4.73751 3.1162 6
373 -5.52534 2.08911 9
374 1.89292 -1.19116 7
375 3.12433 1.13126 7
376 4.39616 0.89455 8
377 4.77865 -3.23826 7
378 -3.12718 0.58002 7
379 3.69605 4.48969 7
380 0.94492 -5.63651 6
381 -1.43295 3.40751 7
382 -2.04676 -2.3796 7
383 -2.5656 -1.36234 8
384 0.82358 1.85127 8
385 3.67829 -4.58125 6
386 -2.39029 1.22124 6
387 -0.0214 -5.88 8
388 3.32001 -1.63496 8
389 -0.84209 1.8822 6
390 2.25588 -4.98097 7
391 -4.11751 -3.52291 8
392 -0.11553 4.22775 8
393 -1.64094 -5.06204 8
394 3.60538 3.81102 6
395 -3.50718 2.27169 6
396 2.82688 1.95513 6
397 1.53946 2.16543 6
398 -1.90891 5.41492 6
399 -0.23862 -2.20519 8
400 3.41683 3.88153 5
401 2.10074 -0.67724 8
402 -3.71789 3.32239 6
403 -0.22624 2.0576 8
404 0.24895 2.4378 8
405 -2.17213 3.68438 7
406 -0.55938 2.16088 8
407 1.36237 1.21341 7
408 1.68046 4.58401 7
409 3.88365 -4.16886 8
410 -2.78785 -3.28435 6
411 -0.26872 5.51805 7
412 4.08286 -3.08359 8
413 -1.61656 -5.57911 8
414 -3.91306 4.45224 6
415 4.67104 -0.53071 7
416 -0.43249 5.83035 6
417 -4.65929 2.0848 8
418 -4.22476 -0.29004 7
419 4.90706 -3.00881 9
420 -4.47093 -1.34986 6
421 -0.03333 -3.21277 7
422 2.88451 2.65994 7
423 2.73281 -3.00469 7
424 2.74584 -0.4974 10
425 1.34262 -1.13627 6
426 0.5267 1.93603 7
427 4.63914 -1.90348 7
428 -1.2945 3.02367 7
429 2.56435 0.89777 6
430 2.81738 0.99036 6
431 5.39553 -0.86911 7
432 -5.42103 1.72029 5
433 3.65657 -2.05251 4
434 5.08394 1.18615 8
435 0.22995 -4.64806 7
436 2.8226 3.28182 8
437 -1.72203 4.58619 7
438 -5.55149 1.85375 8
439 2.65098 -4.72279 8
440 2.81344 -2.86121 7
441 -0.72077 -3.19618 7
442 -0.68724 1.36611 7
443 1.5567 -3.10762 6
444 1.33342 5.78966 8
445 -3.49695 -2.08026 7
446 4.44773 0.83398 7
447 1.51507 -1.45032 7
448 -1.74077 -2.00483 8
449 0.27807 5.95286 7
450 -2.78887 3.54302 7
451 -3.11551 0.0878 6
452 1.23907 -4.73076 6
453 -5.15865 0.41167 7
454 -2.33056 -3.71918 8
455 3.64978 0.1644 7
456 -0.63657 5.12045 6
457 -1.02053 -2.36703 7
458 5.15238 -0.1402 8
459 -3.96518 -1.28014 8
460 0.65554 4.38798 8
461 -2.4864 -4.15 8
462 4.72388 -2.99102 6
463 0.62027 -3.53636 6
464 3.4421 3.72771 8
465 -1.45073 2.01995 8
466 -2.72691 3.1009 7
467 4.71396 -2.0575 7
468 -4.26731 3.75166 7
469 -4.57313 -0.37468 8
470 -3.20304 3.65612 7
471 4.46666 -0.51196 7
472 1.32518 3.48759 8
473 3.30284 4.45937 8
474 -2.59548 3.85935 8
475 3.03935 1.34884 6
476 -0.27072 -5.39252 6
477 4.94802 2.43554 7
478 1.49668 -3.91086 8
479 4.81439 -1.41727 7
480 -2.30366 -0.30153 8
481 2.92507 -4.25214 6
482 -2.32335 -2.86497 6
483 -0.49067 1.66435 6
484 1.47126 -4.88702 7
485 4.44226 -1.00981 4
486 4.22737 -3.51189 7
487 -1.15474 2.19206 7
488 -5.9728 0.31047 7
489 3.5611 0.88944 7
490 -0.80146 -2.47555 7
491 -0.12382 1.91437 8
492 -3.0233 1.98457 6
493 -1.83235 2.44463 6
494 3.83129 2.63715 6
495 4.6445 3.60891 6
496 -0.5666 -3.04071 6
497 -3.65446 0.05278 9
498 -1.9044 -2.75766 6
499 -2.79007 -1.90102 5
500 -4.3065 2.62554 8
501 3.98518 4.06383 7
502 1.01977 4.57477 5
503 0.93791 3.85917 8
504 0.78036 -4.00127 8
505 2.64309 -3.73194 7
506 3.50902 -0.49635 7
507 -2.48765 -2.18146 7
508 -4.9403 -2.92458 7
509 -4.26592 -1.14684 9
510 1.19973 -2.20152 7
511 2.54478 -3.87703 8
512 -0.16597 3.26477 7
513 0.97441 1.21762 7
514 4.36688 -1.57759 6
515 -1.66121 -3.40288 5
516 2.53471 -4.34581 6
517 1.25344 -4.62614 9
518 -2.64547 -1.05568 6
519 3.51525 0.25276 7
520 -2.23523 4.62756 6
521 2.82692 2.9655 7
522 -2.57517 -0.4067 8
523 -2.43784 -1.47578 7
524 1.67732 4.89164 8
525 -4.79375 -0.58757 8
526 0.54354 -4.54967 7
527 1.83605 0.87271 8
528 -2.18635 3.25286 9
529 -1.90068 3.69877 6
530 -2.89159 -3.68924 7
531 -0.40563 -5.05751 7
532 -3.9797 3.262 7
533 3.80061 -2.79018 8
534 1.23569 -3.14005 8
535 3.16127 2.45698 7
536 4.98023 1.90397 7
537 -3.40407 2.52498 8
538 3.96234 0.4273 8
539 -3.61554 -4.24479 9
540 -3.42608 -4.90882 9
541 1.15499 -3.88548 7
542 -4.08912 -2.63308 8
543 -5.12526 2.59575 6
544 -1.71164 2.12924 8
545 -0.8508 3.36955 7
546 4.81368 0.96101 9
547 2.257 1.78212 8
548 -3.37258 -0.57373 7
549 1.69569 5.5652 8
550 -0.60555 3.53708 7
551 2.08471 1.0705 7
552 -3.98673 -1.7912 8
553 -2.16851 -0.3365 7
554 2.5124 -2.09961 8
555 -3.6719 4.58304 6
556 -3.90043 -3.92915 6
557 -2.69238 0.14409 6
558 -1.3215 2.96864 7
559 1.88652 -0.7343 8
560 -2.96203 0.47003 7
561 -0.51787 5.41168 8
562 2.67228 -5.09772 5
563 4.13316 2.50195 7
564 0.81315 2.11497 7
565 3.79475 -2.18372 8
566 2.0846 4.52014 10
567 -2.06895 1.25138 5
568 3.05267 -3.54697 6
569 3.6495 -3.79918 8
570 -2.7521 2.77318 6
571 -4.83253 -2.60027 7
572 2.51814 -1.28015 5
573 -1.46951 -2.99953 7
574 -5.41339 -0.3355 7
575 -4.03672 -3.00967 6
576 5.32695 0.51582 8
577 2.69682 1.0032 6
578 -4.94337 -3.16079 7
579 -1.9418 -2.10988 7
580 -4.04631 -3.06582 6
581 -1.18381 3.35586 7
582 -4.17739 -1.40839 7
583 -5.75287 -0.13673 8
584 -0.88583 5.26445 7
585 4.96312 -1.70212 9
586 2.03477 1.36036 8
587 5.73592 -0.41311 7
588 5.63687 0.977 7
589 -0.10121 5.9543 7
590 0.546 2.40128 7
591 2.79533 2.71214 7
592 -1.40633 3.09066 8
593 -2.70157 4.85752 8
594 5.27772 2.17755 7
595 -2.43015 -3.65987 8
596 3.11703 0.0488 9
597 -0.95564 -1.72199 8
598 5.44654 -1.52243 6
599 4.80228 -3.3462 8
600 5.08213 -1.37562 6
601 -6.8728 0.42
602 -5.9728 -3.18
603 -5.9728 -2.28
604 -5.9728 -1.38
605 -5.9728 -0.48
606 -5.9728 0.42
607 -5.9728 1.32
608 -5.9728 2.22
609 -5.9728 3.12
610 -5.0728 -4.08
611 -5.0728 -3.18
612 -5.0728 -2.28
613 -5.0728 -1.38
614 -5.0728 -0.48
615 -5.0728 0.42
616 -5.0728 1.32
617 -5.0728 2.22
618 -5.0728 3.12
619 -5.0728 4.02
620 -4.1728 -4.98
621 -4.1728 -4.08
622 -4.1728 -3.18
623 -4.1728 -2.28
624 -4.1728 -1.38
625 -4.1728 -0.48
626 -4.1728 0.42
627 -4.1728 1.32
628 -4.1728 2.22
629 -4.1728 3.12
630 -4.1728 4.02
631 -4.1728 4.92
632 -3.2728 -5.88
633 -3.2728 -4.98
634 -3.2728 -4.08
635 -3.2728 -3.18
636 -3.2728 -2.28
637 -3.2728 -1.38
638 -3.2728 -0.48
639 -3.2728 0.42
640 -3.2728 1.32
641 -3.2728 2.22
642 -3.2728 3.12
643 -3.2728 4.02
644 -3.2728 4.92
645 -2.3728 -5.88
646 -2.3728 -4.98
647 -2.3728 -4.08
648 -2.3728 -3.18
649 -2.3728 -2.28
650 -2.3728 -1.38
651 -2.3728 -0.48
652 -2.3728 0.42
653 -2.3728 1.32
654 -2.3728 2.22
655 -2.3728 3.12
656 -2.3728 4.02
657 -2.3728 4.92
658 -2.3728 5.82
659 -1.4728 -5.88
660 -1.4728 -4.98
661 -1.4728 -4.08
662 -1.4728 -3.18
663 -1.4728 -2.28
664 -1.4728 -1.38
665 -1.4728 -0.48
666 -1.4728 0.42
667 -1.4728 1.32
668 -1.4728 2.22
669 -1.4728 3.12
670 -1.4728 4.02
671 -1.4728 4.92
672 -1.4728 5.82
673 -1.4728 6.72
674 -0.5728 -6.78
675 -0.5728 -5.88
676 -0.5728 -4.98
677 -0.5728 -4.08
678 -0.5728 -3.18
679 -0.5728 -2.28
680 -0.5728 -1.38
681 -0.5728 -0.48
682 -0.5728 0.42
683 -0.5728 1.32
684 -0.5728 2.22
685 -0.5728 3.12
686 -0.5728 4.02
687 -0.5728 4.92
688 -0.5728 5.82
689 -0.5728 6.72
690 0.3272 -6.78
691 0.3272 -5.88
692 0.3272 -4.98
693 0.3272 -4.08
694 0.3272 -3.18
695 0.3272 -2.28
696 0.3272 -1.38
697 0.3272 1.32
698 0.3272 2.22
699 0.3272 3.12
700 0.3272 4.02
701 0.3272 4.92
702 0.3272 5.82
703 0.3272 6.72
704 1.2272 -5.88
705 1.2272 -4.98
706 1.2272 -4.08
707 1.2272 -3.18
708 1.2272 -2.28
709 1.2272 -1.38
710 1.2272 -0.48
711 1.2272 0.42
712 1.2272 1.32
713 1.2272 2.22
714 1.2272 3.12
715 1.2272 4.02
716 1.2272 4.92
717 1.2272 5.82
718 1.2272 6.72
719 2.1272 -5.88
720 2.1272 -4.98
721 2.1272 -4.08
722 2.1272 -3.18
723 2.1272 -2.28
724 2.1272 -1.38
725 2.1272 -0.48
726 2.1272 0.42
727 2.1272 1.32
728 2.1272 2.22
729 2.1272 3.12
730 2.1272 4.02
731 2.1272 4.92
732 2.1272 5.82
733 3.0272 -5.88
734 3.0272 -4.98
735 3.0272 -4.08
736 3.0272 -3.18
737 3.0272 -2.28
738 3.0272 -1.38
739 3.0272 -0.48
740 3.0272 0.42
741 3.0272 1.32
742 3.0272 2.22
743 3.0272 3.12
744 3.0272 4.02
745 3.0272 4.92
746 3.0272 5.82
747 3.9272 -4.98
748 3.9272 -4.08
749 3.9272 -3.18
750 3.9272 -2.28
751 3.9272 -1.38
752 3.9272 -0.48
753 3.9272 0.42
754 3.9272 1.32
755 3.9272 2.22
756 3.9272 3.12
757 3.9272 4.02
758 3.9272 4.92
759 4.8272 -4.98
760 4.8272 -4.08
761 4.8272 -3.18
762 4.8272 -2.28
763 4.8272 -1.38
764 4.8272 -0.48
765 4.8272 0.42
766 4.8272 1.32
767 4.8272 2.22
768 4.8272 3.12
769 4.8272 4.02
770 5.7272 -3.18
771 5.7272 -2.28
772 5.7272 -1.38
773 5.7272 -0.48
774 5.7272 0.42
775 5.7272 1.32
776 5.7272 2.22
777 5.7272 3.12
778 6.6272 -0.48
779 6.6272 0.42
780 0.0 0.0
781 0.0 0.0
782 0.0 0.0
783 1.0 0.0
